Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,-7.79999391271275,4.49999999920672,4.30002918567749,4.02408615746921
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,7.86188883286074,8.49758470221235,5.24131619938926,5.45638755164701
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,9.39872563259674,10.6358710644913,9.55083217877568,7.86373644862111
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,-1.53808913525583,3.03973288127956,3.16855627858818,2.39623238465745
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Brazil,BRA,19.6506384012198,19.0168578356276,18.6692569364374,18.5301032637141
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Russian Federation,RUS,20.7865966596139,18.7250554156357,17.6255115280966,17.9672380527257
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,India,IND,11.459667419691,11.0076078674499,11.0844615855558,10.6838562318095
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,China,CHN,14.7529761302757,14.5870205780333,15.2388649383201,15.7560783884401
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,South Africa,ZAF,17.7936331368919,17.996063602882,18.1951431854763,18.8205452606488
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 11/13/2024,,,,,,,
